event_id,event_date,city,venue,event_type,ticket_category,capacity,tickets_sold,ticket_price_sar,discount_pct,marketing_channel,marketing_spend_sar,weather,customer_rating,complaints,reported_revenue_sar
SE-1001,2026-01-19,Makkah,Al Awali Center,Cultural Night,Standard,125,74,110,0.0,Instagram,2000,Clear,4.1,2,8140.0
SE-1002,2026-01-17,Riyadh,Riyadh Front,Food Festival,Standard,297,267,110,0.0,Instagram,7200,Dusty,4.4,1,29370.0
SE-1003,2026-01-18,Riyadh,King Fahd Cultural Center,Comedy Night,Standard,228,148,90,0.0,TikTok,7200,Hot,4.0,1,13320.0
SE-1004,2026-01-29,Khobar,Ithra Hall,Food Festival,Standard,99,179,110,20.0,Influencer,1500,Clear,4.2,2,1870.0
SE-1005,2026-01-10,Riyadh,Riyadh Front,Family Show,Premium,83,54,220,0.0,TikTok,5400,Clear,3.8,2,11880.0
SE-1006,2026-02-17,Jeddah,Jeddah Superdome,Comedy Night,Premium,51,54,150,10.0,Snapchat,1440,Hot,4.5,2,7290.0
SE-1007,2026-02-17,JEDDAH,Jeddah Superdome,Cultural Night,Standard,287,152,45,0.0,TikTok,960,Hot,4.0,2,6840.0
SE-1008,2026-02-15,Riyadh,Riyadh Front,Cultural Night,Standard,440,256,90,0.0,Snapchat,1440,Dusty,3.9,3,23040.0
SE-1009,2026-01-19,Dammam,Dammam Corniche Stage,Food Festival,Standard,117,123,45,15.0,Instagram,6000,Clear,4.7,7,4704.75
SE-1010,2026-01-29,Riyadh,Riyadh Front,E-sports,Standard,334,235,90,10.0,Instagram,3600,Dusty,3.5,3,19035.0
SE-1011,2026-02-15,Riyadh,Riyadh Front,Football Fan Zone,Standard,228,164,90,0.0,Walk-in,960,Cloudy,4.2,1,14760.0
SE-1012,2026-01-11,Jeddah,Jeddah Superdome,Football Fan Zone,Standard,215,209,110,10.0,TikTok,1440,Dusty,4.4,4,20691.0
SE-1013,2026-01-06,Dammam,Dhahran Expo,Food Festival,Standard,110,84,75,0.0,Influencer,1200,Cloudy,4.5,1,6300.0
SE-1014,2026-02-22,riyadh,King Fahd Cultural Center,Football Fan Zone,Standard,103,75,90,25.0,,1440,Hot,3.9,4,5062.5
SE-1015,2026-02-18,Makkah,Al Awali Center,Food Festival,Premium,78,63,220,,TikTok,4500,Hot,4.5,3,10395.0
SE-1016,26/01/2026,Dammam,Dhahran Expo,Family Show,Standard,80,48,60,10.0,Instagram,800,Dusty,3.9,1,2592.0
SE-1017,2026-01-09,Riyadh,Boulevard Hall,Concert,Premium,64,45,220,0.0,Walk-in,1440,Cloudy,4.5,2,9900.0
SE-1018,2026-02-25,Dammam,Dammam Corniche Stage,Family Show,Premium,139,130,120,10.0,Search Ads,1500,Hot,4.1,1,14040.0
SE-1019,2026-02-15,Khobar,Khobar Corniche Theater,Cultural Night,Premium,38,16,180,15.0,Snapchat,800,Clear,3.9,5,2448.0
SE-1020,2026-02-03,Dammam,Dhahran Expo,E-sports,Standard,159,119,45,5.0,Influencer,6000,Clear,,3,5087.25
SE-1021,2026-02-28,Makkah,Al Awali Center,Concert,VIP,31,20,450,5.0,Search Ads,6000,Cloudy,3.7,2,8550.0
SE-1022,2026-02-24,Riyadh,Boulevard Hall,E-sports,Standard,424,173,110,10.0,Snapchat,2400,Clear,4.1,1,17127.0
SE-1023,2026-01-08,Riyadh,Boulevard Hall,Food Festival,Premium,103,96,250,5.0,Influencer,7200,Clear,4.2,3,22800.0
SE-1024,2026-02-12,Abha,Abha Summer Theater,Football Fan Zone,Standard,102,73,60,5.0,Snapchat,3000,Hot,3.7,1,3536.85
SE-1025,2026-02-10,Riyadh,Boulevard Hall,E-sports,Premium,156,141,150,10.0,Snapchat,1800,Clear,4.2,1,19035.0
SE-1026,2026-02-22,Riyadh,Riyadh Front,Comedy Night,Standard,82,69,110,25.0,Instagram,960,Hot,4.2,1,5692.5
